timestamp,sector,total_score
2025-06-22 22:22,机器人,8.4
2025-06-22 22:21,AI应用,6.4
2025-06-22 23:41,有色,6.4
2025-06-22 22:22,光刻机,5.2
2025-06-22 23:42,商业航天,5.2
2025-06-22 22:22,固态电池,5.2
2025-06-22 23:24,汽车,4.800000000000001
2025-06-23 00:18,化工,4.4
2025-06-22 23:24,国产算力,4.4
2025-06-22 23:24,工控设备,4.0
2025-06-23 00:19,石油石化,3.6
2025-06-22 23:35,风电,3.6
2025-06-22 23:35,锂电,3.6
2025-06-23 00:20,消费电子,3.6
2025-06-23 00:27,光模块,2.8000000000000003
2025-06-23 00:22,半导体设备,2.8000000000000003
2025-06-23 00:19,PCB,2.8000000000000003
2025-06-22 22:22,工程机械,2.8000000000000003
2025-06-22 23:24,医疗器械,2.4000000000000004
2025-06-22 22:21,AI配电,2.4000000000000004
2025-06-22 23:27,传媒,2.4000000000000004
2025-06-22 22:22,医药,2.0
2025-06-23 00:20,文化传媒,2.0
2025-06-22 23:43,游戏,2.0
2025-06-22 23:36,可选消费,2.0
2025-06-23 14:16,太空算力,2.0
2025-06-22 23:30,存储,2.0
2025-06-22 23:24,自动驾驶,2.0
2025-06-23 00:19,军工,1.6
2025-06-22 23:35,储能,1.6
2025-06-23 09:30,光伏,1.6
2025-06-22 23:42,核聚变,1.6
2025-06-23 00:19,信创,1.6
2025-06-23 08:14,交运,1.6
2025-06-22 23:24,电力,1.2000000000000002
2025-06-23 13:20,脑机接口,1.2000000000000002
2025-06-23 00:19,半导体材料,1.2000000000000002
2025-06-22 23:43,光纤光缆,1.2000000000000002
2025-06-23 12:39,家电家居,1.2000000000000002
2025-06-23 09:48,液冷,0.8
2025-06-23 13:56,教育,0.8
2025-06-22 23:35,元器件,0.8
2025-06-23 09:30,氢能,0.8
2025-06-22 23:36,农业种植,0.8
2025-06-22 23:42,地产,0.8
2025-06-22 23:43,煤炭,0.8
2025-06-23 09:14,OCS,0.8
2025-06-23 00:25,互联网金融,0.8
2025-06-23 18:24,电池,0.8
2025-06-23 12:43,航天航空,0.8
2025-06-22 23:25,医药生物,0.4
2025-06-22 23:33,计算机应用,0.4
2025-06-22 22:22,建筑建材,0.4
2025-06-22 23:43,贵金属,0.4
2025-06-23 08:56,服务器,0.4
2025-06-23 08:56,化学制药,0.4
2025-06-23 08:14,电子设备制造,0.4
2025-06-23 00:27,电子元件,0.4
2025-06-23 00:21,社服,0.4
2025-06-23 00:23,互联网传媒,0.4
2025-06-23 00:25,航运,0.4
2025-06-23 00:25,航空,0.4
2025-06-22 23:42,食品饮料,0.4
2025-06-23 10:30,生物医药,0.4
2025-06-23 11:26,电子,0.4
2025-06-23 09:15,白色家电,0.4
2025-06-23 12:41,房地产,0.4
2025-06-23 12:39,轻工,0.4
2025-06-23 10:15,计算机,0.4
2025-06-23 09:15,黑色家电,0.4
2025-06-23 13:29,面板,0.4
2025-06-23 12:58,金属新材料,0.4
2025-06-23 13:57,光学光电子,0.4
2025-06-23 13:56,通信,0.4
2025-06-23 17:25,汽车零部件,0.4
2025-06-23 17:25,汽车整车,0.4
2025-06-23 17:25,黄金珠宝,0.4
2025-06-23 14:17,生物科技,0.4
2025-06-23 17:28,医疗服务,0.4
2025-06-23 17:28,中药,0.4
2025-06-23 17:32,地面兵装,0.4
2025-06-23 17:31,塑料,0.4
2025-06-23 18:23,量子通信,0.4
2025-06-23 19:53,保险,0.4
2025-06-23 19:55,证券,0.4
2025-06-23 19:55,多元金融,0.4
