timestamp,sector,total_score
2026-04-12 22:13,PCB,14.8
2026-04-12 22:12,国产算力,12.4
2026-04-12 22:51,锂电,11.600000000000001
2026-04-12 22:45,光模块,11.200000000000001
2026-04-12 22:12,机器人,8.0
2026-04-12 22:14,半导体设备,7.2
2026-04-12 22:54,AI配电,5.2
2026-04-12 22:14,液冷,5.2
2026-04-13 08:15,游戏,4.800000000000001
2026-04-13 10:21,元器件,4.4
2026-04-12 23:08,AI应用,4.0
2026-04-12 23:09,风电,4.0
2026-04-12 22:46,消费电子,3.2
2026-04-13 08:17,化工,3.2
2026-04-13 09:21,汽车,2.8000000000000003
2026-04-13 08:17,医药,2.8000000000000003
2026-04-12 22:14,军工,2.8000000000000003
2026-04-12 22:50,商业航天,2.8000000000000003
2026-04-12 22:11,有色,2.4000000000000004
2026-04-12 22:13,农业种植,2.0
2026-04-13 08:14,OCS,2.0
2026-04-12 23:08,可选消费,2.0
2026-04-12 23:09,电力,1.6
2026-04-12 23:17,固态电池,1.6
2026-04-13 08:54,光伏,1.6
2026-04-13 08:54,半导体,1.6
2026-04-13 08:16,互联网服务,1.2000000000000002
2026-04-12 23:11,电力设备,1.2000000000000002
2026-04-12 22:14,环保,1.2000000000000002
2026-04-12 22:46,半导体材料,1.2000000000000002
2026-04-13 13:25,互联网金融,1.2000000000000002
2026-04-13 13:10,光刻机,1.2000000000000002
2026-04-12 23:14,纺服,1.2000000000000002
2026-04-13 08:13,核聚变,1.2000000000000002
2026-04-12 23:16,储能,1.2000000000000002
2026-04-12 23:09,工程机械,1.2000000000000002
2026-04-13 16:10,物流,0.8
2026-04-12 22:14,轻工,0.8
2026-04-13 09:00,民爆器材,0.8
2026-04-13 08:00,存储,0.8
2026-04-13 11:57,氢能,0.8
2026-04-13 11:55,仪器仪表,0.8
2026-04-12 22:51,石油石化,0.8
2026-04-13 08:17,CXO,0.8
2026-04-13 08:13,医疗器械,0.8
2026-04-12 23:15,食品饮料,0.8
2026-04-13 10:03,脑机接口,0.8
2026-04-13 12:39,封测,0.8
2026-04-13 09:21,自动驾驶,0.8
2026-04-12 22:14,电子烟,0.4
2026-04-12 23:15,化学制药,0.4
2026-04-12 23:09,交运,0.4
2026-04-13 08:13,光学光电子,0.4
2026-04-12 23:16,餐饮,0.4
2026-04-13 08:17,券商,0.4
2026-04-13 08:14,工控设备,0.4
2026-04-13 10:04,建筑建材,0.4
2026-04-13 10:31,计算机设备,0.4
2026-04-13 10:17,光芯片,0.4
2026-04-13 10:05,社服,0.4
2026-04-13 09:20,生物制品,0.4
2026-04-13 09:21,计算机,0.4
2026-04-13 11:56,家电家居,0.4
2026-04-13 11:54,煤炭,0.4
2026-04-13 10:40,通信设备,0.4
2026-04-13 11:28,航天装备,0.4
2026-04-13 12:56,通用设备,0.4
2026-04-13 12:56,化学原料,0.4
2026-04-13 13:38,家居用品,0.4
2026-04-13 12:15,电子布,0.4
2026-04-13 14:21,船舶制造,0.4
2026-04-13 14:33,自动化设备,0.4
2026-04-13 14:48,家电家具,0.4
2026-04-13 15:39,量子通信,0.4
2026-04-13 16:14,建筑材料,0.4
2026-04-13 16:16,港口,0.4
2026-04-13 17:48,服务器,0.4
2026-04-13 19:10,服装,0.4
