timestamp,sector,total_score
2025-07-07 23:36,PCB,10.0
2025-07-07 23:36,服务器,7.6000000000000005
2025-07-07 23:42,储能,6.4
2025-07-07 23:36,光模块,5.6000000000000005
2025-07-07 23:51,商业航天,5.6000000000000005
2025-07-07 23:36,AI应用,5.6000000000000005
2025-07-07 23:36,半导体设备,5.6000000000000005
2025-07-07 23:36,国产算力,5.2
2025-07-07 23:38,光伏,4.800000000000001
2025-07-07 23:51,太空算力,4.800000000000001
2025-07-07 23:42,锂电,4.800000000000001
2025-07-07 23:39,机器人,4.4
2025-07-07 23:36,存储,4.4
2025-07-07 23:36,半导体材料,4.0
2025-07-07 23:40,游戏,4.0
2025-07-07 23:39,通用设备,3.2
2025-07-07 23:40,建筑建材,3.2
2025-07-07 23:39,光纤光缆,3.2
2025-07-07 23:39,半导体,3.2
2025-07-07 23:36,消费电子,2.8000000000000003
2025-07-07 23:36,电力,2.8000000000000003
2025-07-07 23:36,工程机械,2.8000000000000003
2025-07-08 12:43,氢能,2.4000000000000004
2025-07-07 23:53,医药,2.4000000000000004
2025-07-07 23:42,固态电池,2.4000000000000004
2025-07-08 08:28,AI配电,2.4000000000000004
2025-07-08 08:56,汽车,2.4000000000000004
2025-07-08 09:44,风电,2.4000000000000004
2025-07-08 12:04,液冷,2.4000000000000004
2025-07-07 23:40,食品饮料,2.0
2025-07-08 12:43,元器件,2.0
2025-07-08 10:35,OCS,2.0
2025-07-07 23:39,封测,2.0
2025-07-07 23:40,自动驾驶,1.6
2025-07-07 23:52,化工,1.6
2025-07-07 23:38,券商,1.6
2025-07-08 09:00,稀土,1.6
2025-07-07 23:43,光刻机,1.6
2025-07-07 23:40,物流,1.6
2025-07-07 23:36,半导体代工,1.2000000000000002
2025-07-07 23:42,信创,1.2000000000000002
2025-07-07 23:39,农业种植,1.2000000000000002
2025-07-07 23:40,传媒,1.2000000000000002
2025-07-08 11:29,工控设备,1.2000000000000002
2025-07-08 20:49,家用轻工,0.8
2025-07-08 09:20,民爆,0.8
2025-07-08 15:04,光学光电子,0.8
2025-07-07 23:39,有色,0.8
2025-07-07 23:39,贵金属,0.8
2025-07-07 23:43,国防军工,0.8
2025-07-08 09:22,互联网金融,0.8
2025-07-08 08:54,数据中心,0.4
2025-07-08 08:42,汽车零部件,0.4
2025-07-07 23:55,生物制品,0.4
2025-07-07 23:36,交运,0.4
2025-07-08 09:22,公用事业,0.4
2025-07-08 09:19,民爆器材,0.4
2025-07-08 09:17,小金属,0.4
2025-07-08 08:56,电子,0.4
2025-07-08 12:04,功率半导体,0.4
2025-07-08 11:25,CXO,0.4
2025-07-08 09:56,电子元件,0.4
2025-07-08 08:56,计算机应用,0.4
2025-07-08 12:39,医疗器械,0.4
2025-07-08 13:13,银行,0.4
2025-07-08 13:13,油气开采,0.4
2025-07-08 12:40,塑料制品,0.4
2025-07-08 14:41,电网设备,0.4
2025-07-08 15:05,军工,0.4
2025-07-08 15:11,电力设备,0.4
2025-07-08 15:06,环保,0.4
2025-07-08 20:48,钢铁,0.4
2025-07-08 20:49,航空,0.4
2025-07-08 20:49,个护用品,0.4
2025-07-08 21:35,有色金属,0.4
